surveyID_pk,organization,startDate,startQuartal,endDate,endQuartal,sampleSize,sampleSizeCategorie,votersType,approve,approveCategorie,disapprove,disapproveCategorie,unsure,approveDemocrats,democratsApproveCategorie,approveRepublicans,republicanApproveCategorie,text,url
1,YouGov/Economist,2018-07-15,3. quarter,2017-07-17,3. quarter,1500,high,adults,37,minority,30,minority,33,62,majority,17,minority,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/7hxorevceh/econTabReport.pdf
2,Morning Consult,2017-07-20,3. quarter,2017-07-24,3. quarter,3981,runaway,registered voters,40,minority,27,minority,33,53,majority,31,minority,As you may know, the U.S. Department of Justice appointed Robert Mueller as the special counsel to investigate any alleged coordination between the Russian government and Donald Trumps 2016 presidential campaign. Based on what you know, do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,https://morningconsult.com/wp-content/uploads/2017/07/170708_crosstabs_Politico_v1_TB.pdf
3,YouGov/HuffPost,2017-10-30,4. quarter,2017-10-31,4. quarter,1000,medium,adults,39,minority,26,minority,34,60,majority,25,minority,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel on the Russia probe?,http://big.assets.huffingtonpost.com/tabsHPRussiaIndictments20171030.pdf
4,Washington Post/ABC News,2017-10-29,4. quarter,2017-11-01,4. quarter,1005,medium,adults,58,majority,28,minority,14,78,majority,38,minority,A special counsel at the U.S. Justice Department, Robert Mueller, has been investigating possible ties between Trumps campaign and the Russian government. Do you approve or disapprove of the way Mueller is handling this investigation?,https://www.washingtonpost.com/politics/polling/department-justice-mueller-russian/2017/11/16/3d2002d2-bff7-11e7-9294-705f80164f6e_page.html
5,YouGov/HuffPost,2017-12-01,4. quarter,2017-12-02,4. quarter,1000,medium,adults,36,minority,28,minority,35,58,majority,17,minority,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel on the Russia probe?,http://big.assets.huffingtonpost.com/tabsHPMichaelFlynn20171201.pdf
6,YouGov/Economist,2017-12-03,4. quarter,2017-12-05,4. quarter,1500,high,adults,36,minority,25,minority,38,61,majority,22,minority,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/jhdmzhxe6k/econTabReport.pdf
7,CNN/SSRS,2017-12-14,4. quarter,2017-12-17,4. quarter,1001,medium,adults,47,minority,34,minority,19,63,majority,31,minority,Do you approve or disapprove of the way Robert Mueller is handling the investigation into Russian interference in the 2016 election?,http://cdn.cnn.com/cnn/2017/images/12/21/rel12c.-.russia.pdf
8,CNN/SSRS,2018-01-14,1. quarter,2018-01-18,1. quarter,1005,medium,adults,47,minority,33,minority,20,68,majority,26,minority,Do you approve or disapprove of the way Robert Mueller is handling the investigation into Russian interference in the 2016 election?,http://cdn.cnn.com/cnn/2018/images/01/23/rel1f.-.russia.pdf
9,Washington Post/ABC News,2018-01-15,1. quarter,2018-01-18,1. quarter,1005,medium,adults,50,minority,31,minority,19,71,majority,28,minority,A special counsel at the U.S. Justice Department, Robert Mueller, has been investigating possible ties between Trumps presidential campaign and the Russian govt. Do you approve or disapprove of the way he is handling investigation?,https://www.washingtonpost.com/politics/polling/department-justice-mueller-russian/2018/01/29/27f3887a-fe68-11e7-9b5d-bbf0da31214d_page.html
10,YouGov/HuffPost,2018-01-23,1. quarter,2018-01-24,1. quarter,1000,medium,adults,37,minority,25,minority,38,59,majority,25,minority,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel on the Russia probe?,http://big.assets.huffingtonpost.com/tabsHPRussiainvestigation20180123.pdf
11,YouGov/HuffPost,2018-01-26,1. quarter,2018-01-27,1. quarter,1000,medium,adults,34,minority,26,minority,39,58,majority,18,minority,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel on the Russia probe?,http://big.assets.huffingtonpost.com/tabsHPMuellerinvestigation20180126.pdf
12,YouGov/Economist,2018-01-28,1. quarter,2018-01-30,1. quarter,1500,high,adults,34,minority,29,minority,37,57,majority,18,minority,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/81kgdte5zw/econTabReport.pdf
13,YouGov/Economist,2018-02-18,1. quarter,2018-02-20,1. quarter,1500,high,adults,39,minority,25,minority,36,62,majority,23,minority,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/57yxejgrmo/econTabReport.pdf
14,CNN/SSRS,2018-02-20,1. quarter,2018-02-23,1. quarter,1016,medium,adults,37,minority,33,minority,21,66,majority,28,minority,Do you approve or disapprove of the way Robert Mueller is handling the investigation into Russian interference in the 2016 election?,http://cdn.cnn.com/cnn/2018/images/02/26/rel3c.-.russia.pdf
15,YouGov/Economist,2018-03-10,1. quarter,2018-03-13,1. quarter,1500,high,adults,37,minority,27,minority,36,57,majority,20,minority,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/y3tke5cxwy/econTabReport.pdf
16,Morning Consult,2018-03-15,1. quarter,2018-03-19,1. quarter,1994,runaway,registered voters,45,minority,27,minority,27,62,majority,35,minority,As you may know, the U.S. Department of Justice appointed Robert Mueller as special counsel to investigate any alleged coordination between the Russian government and Donald Trumps 2016 presidential campaign. Based on what you know, do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,https://morningconsult.com/wp-content/uploads/2018/03/180322_crosstabs_POLITICO_v1_DK.pdf
17,CNN/SSRS,2018-03-22,1. quarter,2018-03-25,1. quarter,1014,medium,adults,38,minority,35,minority,17,69,majority,29,minority,Do you approve or disapprove of the way Robert Mueller is handling the investigation into Russian interference in the 2016 election?,https://cdn.cnn.com/cnn/2018/images/03/27/rel4b-north.korea2c.russia.pdf
18,YouGov/Economist,2018-04-15,2. quarter,2018-04-17,2. quarter,1500,high,adults,37,minority,29,minority,33,61,majority,19,minority,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4l31gznvf1/econTabReport.pdf
19,CNN/SSRS,2018-05-02,2. quarter,2018-05-05,2. quarter,1015,medium,adults,44,minority,38,minority,18,64,majority,17,minority,Do you approve or disapprove of the way Robert Mueller is handling the investigation into Russian interference in the 2016 election?,http://cdn.cnn.com/cnn/2018/images/05/10/rel5f.-.russia.pdf
20,YouGov/Economist,2018-05-06,2. quarter,2018-05-08,2. quarter,1500,high,adults,36,minority,30,minority,34,63,majority,14,minority,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/kwgrow0dna/econTabReport.pdf
